epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.78594,3.70329,0.04505,0.24324,3.61086,7.26545e-05,7.26545e-05,7.26545e-05
2,10.6392,3.45767,0.17117,0.38739,3.3374,0.000145203,0.000145203,0.000145203
3,15.337,3.19256,0.24324,0.47748,3.07242,0.000216286,0.000216286,0.000216286
4,20.0201,2.86465,0.32432,0.63063,2.78433,0.000215407,0.000215407,0.000215407
5,24.641,2.6007,0.2973,0.66667,2.42091,0.000213209,0.000213209,0.000213209
6,29.3392,2.32613,0.36036,0.75676,2.16637,0.000211011,0.000211011,0.000211011
7,34.0135,2.085,0.40541,0.77477,2.0273,0.000208813,0.000208813,0.000208813
8,38.6939,1.82988,0.52252,0.81081,1.94354,0.000206615,0.000206615,0.000206615
9,43.3879,1.67211,0.55856,0.82883,1.63167,0.000204418,0.000204418,0.000204418
10,48.0197,1.50569,0.57658,0.85586,1.49957,0.00020222,0.00020222,0.00020222
11,52.6895,1.40162,0.65766,0.85586,1.42579,0.000200022,0.000200022,0.000200022
12,57.374,1.25362,0.65766,0.85586,1.42542,0.000197824,0.000197824,0.000197824
13,62.0355,1.12158,0.64865,0.86486,1.26353,0.000195626,0.000195626,0.000195626
14,66.6629,1.02972,0.67568,0.86486,1.2021,0.000193429,0.000193429,0.000193429
15,71.3955,0.85164,0.7027,0.89189,1.13011,0.000191231,0.000191231,0.000191231
16,76.0994,0.77619,0.72973,0.87387,1.01943,0.000189033,0.000189033,0.000189033
17,80.7914,0.75601,0.73874,0.88288,1.04572,0.000186835,0.000186835,0.000186835
18,85.5456,0.6822,0.72973,0.89189,1.01592,0.000184637,0.000184637,0.000184637
19,90.3565,0.55178,0.73874,0.89189,0.87363,0.00018244,0.00018244,0.00018244
20,95.1277,0.53079,0.72973,0.89189,0.89017,0.000180242,0.000180242,0.000180242
21,99.8611,0.55114,0.75676,0.90991,0.98396,0.000178044,0.000178044,0.000178044
22,104.617,0.48933,0.77477,0.9009,0.90197,0.000175846,0.000175846,0.000175846
23,109.393,0.41608,0.79279,0.92793,0.73727,0.000173648,0.000173648,0.000173648
24,114.217,0.40723,0.78378,0.92793,0.77967,0.000171451,0.000171451,0.000171451
25,119.005,0.36439,0.78378,0.92793,0.82513,0.000169253,0.000169253,0.000169253
26,123.837,0.3752,0.8018,0.92793,0.69805,0.000167055,0.000167055,0.000167055
27,128.713,0.32008,0.8018,0.91892,0.73159,0.000164857,0.000164857,0.000164857
28,133.557,0.3347,0.77477,0.91892,0.86827,0.000162659,0.000162659,0.000162659
29,138.391,0.3019,0.79279,0.90991,0.69743,0.000160462,0.000160462,0.000160462
30,143.022,0.27423,0.82883,0.90991,0.77781,0.000158264,0.000158264,0.000158264
31,147.641,0.28193,0.83784,0.94595,0.63907,0.000156066,0.000156066,0.000156066
32,152.33,0.24226,0.81982,0.92793,0.69321,0.000153868,0.000153868,0.000153868
33,156.928,0.23689,0.83784,0.90991,0.79222,0.00015167,0.00015167,0.00015167
34,161.574,0.22489,0.85586,0.91892,0.64263,0.000149473,0.000149473,0.000149473
35,166.24,0.2144,0.82883,0.90991,0.63587,0.000147275,0.000147275,0.000147275
36,170.959,0.22172,0.83784,0.91892,0.77052,0.000145077,0.000145077,0.000145077
37,175.62,0.18454,0.82883,0.90991,0.72575,0.000142879,0.000142879,0.000142879
38,180.27,0.18865,0.81982,0.93694,0.72677,0.000140681,0.000140681,0.000140681
39,184.996,0.1776,0.82883,0.94595,0.74906,0.000138484,0.000138484,0.000138484
40,189.666,0.19784,0.82883,0.93694,0.63319,0.000136286,0.000136286,0.000136286
41,194.352,0.16311,0.83784,0.92793,0.62151,0.000134088,0.000134088,0.000134088
42,199.035,0.2068,0.84685,0.92793,0.67801,0.00013189,0.00013189,0.00013189
43,203.725,0.15982,0.85586,0.93694,0.7431,0.000129692,0.000129692,0.000129692
44,208.451,0.14998,0.83784,0.92793,0.5871,0.000127495,0.000127495,0.000127495
45,213.209,0.15435,0.85586,0.91892,0.62805,0.000125297,0.000125297,0.000125297
46,217.947,0.13329,0.82883,0.91892,0.65563,0.000123099,0.000123099,0.000123099
47,222.674,0.12383,0.85586,0.92793,0.62587,0.000120901,0.000120901,0.000120901
48,227.466,0.14343,0.83784,0.94595,0.65376,0.000118703,0.000118703,0.000118703
49,232.154,0.12886,0.86486,0.92793,0.61524,0.000116506,0.000116506,0.000116506
50,236.92,0.13983,0.84685,0.91892,0.62133,0.000114308,0.000114308,0.000114308
51,241.687,0.12725,0.84685,0.91892,0.65387,0.00011211,0.00011211,0.00011211
52,246.526,0.11894,0.84685,0.92793,0.60955,0.000109912,0.000109912,0.000109912
53,251.343,0.12166,0.83784,0.92793,0.80212,0.000107714,0.000107714,0.000107714
54,256.192,0.12626,0.83784,0.92793,0.62985,0.000105517,0.000105517,0.000105517
55,260.974,0.11257,0.83784,0.93694,0.61135,0.000103319,0.000103319,0.000103319
56,265.848,0.13393,0.85586,0.94595,0.61019,0.000101121,0.000101121,0.000101121
57,270.532,0.12761,0.83784,0.93694,0.60154,9.89232e-05,9.89232e-05,9.89232e-05
58,275.361,0.11275,0.83784,0.94595,0.57709,9.67254e-05,9.67254e-05,9.67254e-05
59,280.249,0.09134,0.85586,0.92793,0.66784,9.45276e-05,9.45276e-05,9.45276e-05
60,285.175,0.10001,0.84685,0.93694,0.56028,9.23298e-05,9.23298e-05,9.23298e-05
61,290.022,0.11135,0.83784,0.92793,0.62187,9.0132e-05,9.0132e-05,9.0132e-05
62,294.807,0.09641,0.83784,0.94595,0.60479,8.79342e-05,8.79342e-05,8.79342e-05
63,299.447,0.10684,0.84685,0.93694,0.68743,8.57364e-05,8.57364e-05,8.57364e-05
64,304.147,0.08969,0.82883,0.95495,0.62144,8.35386e-05,8.35386e-05,8.35386e-05
