epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,91.7906,2.60451,0.27149,0.60181,2.34035,0.000183664,0.000183664,0.000183664
2,138.788,2.03391,0.50679,0.86878,1.55841,0.000365344,0.000365344,0.000365344
3,185.657,1.44172,0.62443,0.90045,1.14546,0.000543355,0.000543355,0.000543355
4,232.303,1.09041,0.66516,0.95928,0.94675,0.000539487,0.000539487,0.000539487
5,278.837,0.83311,0.72398,0.97285,0.74756,0.000533982,0.000533982,0.000533982
6,325.29,0.69774,0.76923,0.9819,0.62718,0.000528478,0.000528478,0.000528478
7,371.646,0.61718,0.8009,0.97285,0.5843,0.000522974,0.000522974,0.000522974
8,418.181,0.49633,0.80543,0.99548,0.58261,0.000517469,0.000517469,0.000517469
9,464.457,0.47864,0.84615,0.9819,0.4854,0.000511965,0.000511965,0.000511965
10,510.735,0.45404,0.84615,0.9819,0.49125,0.00050646,0.00050646,0.00050646
11,556.344,0.43547,0.86425,0.99095,0.42853,0.000500956,0.000500956,0.000500956
12,601.775,0.38138,0.86878,0.98643,0.40014,0.000495452,0.000495452,0.000495452
13,647.508,0.35178,0.83258,0.9819,0.45532,0.000489947,0.000489947,0.000489947
14,692.965,0.3183,0.8914,0.98643,0.34313,0.000484443,0.000484443,0.000484443
15,738.328,0.28922,0.87783,0.99095,0.39066,0.000478938,0.000478938,0.000478938
16,784.218,0.30675,0.85973,0.99095,0.48334,0.000473434,0.000473434,0.000473434
17,829.824,0.24379,0.87783,0.98643,0.50309,0.00046793,0.00046793,0.00046793
18,875.107,0.27679,0.8914,0.99548,0.41211,0.000462425,0.000462425,0.000462425
19,920.471,0.28665,0.88235,0.98643,0.39706,0.000456921,0.000456921,0.000456921
20,965.966,0.24278,0.8914,0.99095,0.32377,0.000451416,0.000451416,0.000451416
21,1011.34,0.22737,0.90498,0.99095,0.31556,0.000445912,0.000445912,0.000445912
22,1057.12,0.24171,0.91403,0.9819,0.37394,0.000440408,0.000440408,0.000440408
23,1102.73,0.23141,0.90498,0.99095,0.30911,0.000434903,0.000434903,0.000434903
24,1148.07,0.21345,0.91855,0.99548,0.28653,0.000429399,0.000429399,0.000429399
25,1193.31,0.2131,0.90045,0.98643,0.32667,0.000423894,0.000423894,0.000423894
26,1238.24,0.20086,0.91855,0.99095,0.31613,0.00041839,0.00041839,0.00041839
27,1283.22,0.19636,0.8733,0.98643,0.44115,0.000412886,0.000412886,0.000412886
28,1328.78,0.14105,0.91403,0.99548,0.27267,0.000407381,0.000407381,0.000407381
29,1373.77,0.16715,0.90498,0.98643,0.35678,0.000401877,0.000401877,0.000401877
30,1419.32,0.208,0.89593,0.99095,0.42113,0.000396372,0.000396372,0.000396372
