epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,501.206,2.42104,0.41404,0.78128,1.85187,0.00332656,0.00332656,0.00332656
2,969.332,1.86213,0.46592,0.84028,1.66245,0.00659396,0.00659396,0.00659396
3,1451.97,1.7459,0.51272,0.85249,1.53947,0.00979536,0.00979536,0.00979536
4,1927.67,1.82858,0.48932,0.85453,1.59068,0.009703,0.009703,0.009703
5,2392.23,1.73336,0.50865,0.84537,1.59567,0.009604,0.009604,0.009604
6,2866.5,1.64936,0.53204,0.88606,1.42215,0.009505,0.009505,0.009505
7,3344.76,1.53886,0.59512,0.8942,1.32647,0.009406,0.009406,0.009406
8,3820.17,1.44066,0.6002,0.89624,1.27667,0.009307,0.009307,0.009307
9,4293.59,1.41563,0.61648,0.8708,1.28184,0.009208,0.009208,0.009208
10,4767.87,1.33177,0.62665,0.92269,1.12549,0.009109,0.009109,0.009109
11,5242.08,1.27232,0.65412,0.9237,1.06234,0.00901,0.00901,0.00901
12,5716.95,1.19864,0.69481,0.93998,0.94215,0.008911,0.008911,0.008911
13,6192.14,1.16833,0.68159,0.94201,0.99686,0.008812,0.008812,0.008812
14,6652.96,1.11535,0.69278,0.93896,0.97334,0.008713,0.008713,0.008713
15,7134.72,1.07946,0.72126,0.94914,0.84611,0.008614,0.008614,0.008614
16,7616.76,1.02625,0.70905,0.94405,0.90116,0.008515,0.008515,0.008515
17,8085.71,0.99498,0.74568,0.95829,0.77067,0.008416,0.008416,0.008416
18,8561.54,0.95938,0.73957,0.94812,0.79793,0.008317,0.008317,0.008317
19,9044.99,0.92422,0.75788,0.95524,0.77474,0.008218,0.008218,0.008218
20,9520.91,0.89106,0.76094,0.95524,0.74973,0.008119,0.008119,0.008119
21,9955.34,0.88805,0.76094,0.96236,0.75856,0.00802,0.00802,0.00802
22,10311.9,0.8223,0.76195,0.96236,0.74235,0.007921,0.007921,0.007921
23,10766.5,0.81792,0.78433,0.97253,0.64059,0.007822,0.007822,0.007822
24,11243.6,0.77469,0.79044,0.9705,0.70811,0.007723,0.007723,0.007723
25,11717.6,0.78004,0.77416,0.96236,0.72099,0.007624,0.007624,0.007624
26,12187.8,0.75084,0.79349,0.9705,0.63998,0.007525,0.007525,0.007525
27,12652.3,0.71869,0.79756,0.97457,0.61934,0.007426,0.007426,0.007426
28,13133.4,0.70389,0.81689,0.98067,0.55406,0.007327,0.007327,0.007327
29,13614.4,0.68041,0.79756,0.97558,0.58437,0.007228,0.007228,0.007228
30,14079.1,0.67121,0.81078,0.96643,0.61045,0.007129,0.007129,0.007129
31,14510.4,0.66908,0.80773,0.96541,0.61176,0.00703,0.00703,0.00703
32,14964.1,0.61829,0.82401,0.97965,0.5672,0.006931,0.006931,0.006931
33,15431.7,0.61046,0.82299,0.97457,0.55851,0.006832,0.006832,0.006832
34,15889.3,0.59507,0.83215,0.97457,0.51666,0.006733,0.006733,0.006733
35,16355.2,0.59651,0.83316,0.97965,0.4952,0.006634,0.006634,0.006634
36,16819.4,0.55772,0.84232,0.98271,0.50534,0.006535,0.006535,0.006535
37,17294.4,0.53751,0.8413,0.9766,0.49629,0.006436,0.006436,0.006436
38,17776.3,0.54032,0.84232,0.98271,0.49637,0.006337,0.006337,0.006337
39,18241.1,0.53781,0.84944,0.97965,0.50139,0.006238,0.006238,0.006238
40,18708.9,0.50839,0.85656,0.98372,0.46531,0.006139,0.006139,0.006139
41,19175.2,0.47996,0.84842,0.98067,0.4592,0.00604,0.00604,0.00604
42,19631.2,0.47219,0.86673,0.98372,0.43418,0.005941,0.005941,0.005941
43,20101.6,0.48484,0.85148,0.98271,0.46767,0.005842,0.005842,0.005842
44,20566.1,0.44754,0.86979,0.98271,0.41325,0.005743,0.005743,0.005743
45,21039.9,0.45185,0.85961,0.98779,0.42885,0.005644,0.005644,0.005644
46,21526.8,0.42307,0.87284,0.98576,0.42264,0.005545,0.005545,0.005545
47,22014.1,0.42699,0.86368,0.98576,0.43375,0.005446,0.005446,0.005446
48,22490.8,0.41263,0.86673,0.98881,0.36898,0.005347,0.005347,0.005347
49,22931.7,0.39422,0.88098,0.98372,0.39361,0.005248,0.005248,0.005248
50,23440.7,0.38708,0.88199,0.98779,0.40567,0.005149,0.005149,0.005149
51,23936.8,0.39291,0.89217,0.98576,0.36652,0.00505,0.00505,0.00505
52,24422.6,0.36257,0.88199,0.98576,0.37858,0.004951,0.004951,0.004951
53,24904.9,0.37187,0.88606,0.98983,0.3738,0.004852,0.004852,0.004852
54,25381.1,0.34886,0.8881,0.99084,0.36798,0.004753,0.004753,0.004753
55,25861.5,0.32838,0.88301,0.98779,0.37115,0.004654,0.004654,0.004654
56,26338.5,0.327,0.88708,0.98576,0.36799,0.004555,0.004555,0.004555
57,26838.1,0.32329,0.89217,0.98372,0.39514,0.004456,0.004456,0.004456
58,27296.6,0.31978,0.8881,0.98576,0.36411,0.004357,0.004357,0.004357
59,27603.7,0.29331,0.89115,0.98576,0.38533,0.004258,0.004258,0.004258
60,27899,0.30033,0.89827,0.98881,0.36154,0.004159,0.004159,0.004159
61,28193.5,0.30095,0.89115,0.98881,0.36138,0.00406,0.00406,0.00406
