epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.40508,3.23626,0.11111,0.2963,3.055,0.0001001,0.0001001,0.0001001
2,5.85422,2.89155,0.16667,0.55556,2.71416,0.00020203,0.00020203,0.00020203
3,8.39981,2.62378,0.35185,0.62963,2.43431,0.000301902,0.000301902,0.000301902
4,10.7897,2.2649,0.44444,0.7037,2.07266,0.000373565,0.000373565,0.000373565
5,13.179,1.95481,0.5,0.77778,1.80553,0.000369754,0.000369754,0.000369754
6,15.5936,1.63084,0.59259,0.83333,1.54354,0.000365942,0.000365942,0.000365942
7,17.9826,1.40557,0.68519,0.87037,1.31729,0.000362131,0.000362131,0.000362131
8,20.4121,1.19913,0.68519,0.90741,1.14302,0.000358319,0.000358319,0.000358319
9,22.8325,1.00387,0.64815,0.90741,1.05568,0.000354508,0.000354508,0.000354508
10,25.2836,0.9489,0.62963,0.92593,1.03146,0.000350697,0.000350697,0.000350697
11,27.7296,0.72507,0.7037,0.94444,0.93017,0.000346885,0.000346885,0.000346885
12,30.1874,0.62632,0.75926,0.96296,0.78702,0.000343074,0.000343074,0.000343074
13,32.641,0.60193,0.77778,0.98148,0.80855,0.000339262,0.000339262,0.000339262
14,35.1314,0.44501,0.75926,0.96296,0.70294,0.00033545,0.00033545,0.00033545
15,37.6013,0.37198,0.7963,0.98148,0.63079,0.000331639,0.000331639,0.000331639
16,40.044,0.37452,0.7963,0.98148,0.65865,0.000327827,0.000327827,0.000327827
17,42.4966,0.28852,0.81481,1,0.68719,0.000324016,0.000324016,0.000324016
18,44.9741,0.28039,0.7963,0.98148,0.63491,0.000320204,0.000320204,0.000320204
19,47.3973,0.28858,0.7963,0.98148,0.68188,0.000316393,0.000316393,0.000316393
20,49.8478,0.24527,0.74074,0.98148,0.69228,0.000312581,0.000312581,0.000312581
21,52.3133,0.23121,0.7963,0.96296,0.55043,0.00030877,0.00030877,0.00030877
22,54.7202,0.22307,0.7963,0.96296,0.56519,0.000304958,0.000304958,0.000304958
23,57.1715,0.1484,0.74074,0.96296,0.63389,0.000301147,0.000301147,0.000301147
24,59.6105,0.17618,0.83333,0.98148,0.5747,0.000297335,0.000297335,0.000297335
25,62.0502,0.17147,0.83333,0.98148,0.59095,0.000293524,0.000293524,0.000293524
26,64.4958,0.12084,0.83333,1,0.48719,0.000289712,0.000289712,0.000289712
27,66.9728,0.17169,0.87037,0.98148,0.4484,0.000285901,0.000285901,0.000285901
28,69.4439,0.11081,0.83333,0.98148,0.49998,0.000282089,0.000282089,0.000282089
29,71.879,0.17638,0.85185,0.98148,0.50001,0.000278278,0.000278278,0.000278278
30,74.3512,0.09865,0.85185,1,0.52181,0.000274466,0.000274466,0.000274466
31,76.8452,0.16015,0.83333,0.98148,0.44964,0.000270655,0.000270655,0.000270655
32,79.3566,0.11214,0.81481,1,0.46632,0.000266843,0.000266843,0.000266843
33,81.8282,0.13045,0.85185,0.98148,0.55394,0.000263032,0.000263032,0.000263032
34,84.2891,0.10347,0.81481,1,0.43143,0.00025922,0.00025922,0.00025922
35,86.7475,0.10848,0.87037,1,0.36859,0.000255409,0.000255409,0.000255409
36,89.2449,0.09417,0.88889,1,0.30289,0.000251597,0.000251597,0.000251597
37,91.7317,0.11623,0.85185,1,0.35795,0.000247786,0.000247786,0.000247786
38,94.2416,0.1072,0.83333,1,0.42645,0.000243974,0.000243974,0.000243974
39,96.7227,0.09659,0.83333,1,0.41647,0.000240163,0.000240163,0.000240163
40,99.2304,0.11176,0.85185,1,0.44915,0.000236351,0.000236351,0.000236351
41,101.708,0.08022,0.83333,1,0.44447,0.00023254,0.00023254,0.00023254
42,104.216,0.0882,0.85185,1,0.40051,0.000228729,0.000228729,0.000228729
43,106.697,0.08582,0.85185,1,0.41084,0.000224917,0.000224917,0.000224917
44,109.177,0.09103,0.87037,1,0.34841,0.000221106,0.000221106,0.000221106
45,111.686,0.08469,0.87037,0.98148,0.39218,0.000217294,0.000217294,0.000217294
46,114.224,0.06097,0.81481,0.98148,0.49381,0.000213482,0.000213482,0.000213482
47,116.739,0.05536,0.83333,0.96296,0.46664,0.000209671,0.000209671,0.000209671
48,119.27,0.07786,0.85185,0.94444,0.51343,0.00020586,0.00020586,0.00020586
49,121.785,0.06477,0.87037,0.94444,0.4293,0.000202048,0.000202048,0.000202048
50,124.295,0.05635,0.85185,0.96296,0.53469,0.000198236,0.000198236,0.000198236
51,126.832,0.05687,0.88889,0.96296,0.42228,0.000194425,0.000194425,0.000194425
52,129.348,0.05872,0.90741,0.98148,0.41183,0.000190613,0.000190613,0.000190613
53,131.84,0.05382,0.87037,0.98148,0.3947,0.000186802,0.000186802,0.000186802
54,134.385,0.06305,0.87037,0.98148,0.44206,0.00018299,0.00018299,0.00018299
55,136.942,0.04585,0.87037,0.98148,0.45686,0.000179179,0.000179179,0.000179179
56,139.503,0.05862,0.83333,0.94444,0.51818,0.000175367,0.000175367,0.000175367
57,142.081,0.04958,0.85185,0.94444,0.48476,0.000171556,0.000171556,0.000171556
58,144.621,0.05035,0.85185,0.96296,0.51305,0.000167745,0.000167745,0.000167745
59,147.127,0.06234,0.88889,0.96296,0.512,0.000163933,0.000163933,0.000163933
60,149.595,0.0537,0.87037,0.96296,0.43804,0.000160122,0.000160122,0.000160122
61,152.058,0.05201,0.88889,0.96296,0.4814,0.00015631,0.00015631,0.00015631
62,154.501,0.05096,0.87037,0.96296,0.47516,0.000152498,0.000152498,0.000152498
63,156.916,0.06629,0.88889,0.96296,0.49811,0.000148687,0.000148687,0.000148687
64,159.382,0.04127,0.87037,0.96296,0.49038,0.000144875,0.000144875,0.000144875
65,161.803,0.06458,0.87037,0.98148,0.52049,0.000141064,0.000141064,0.000141064
66,164.232,0.04324,0.87037,0.98148,0.40098,0.000137252,0.000137252,0.000137252
67,166.702,0.04564,0.88889,0.98148,0.3781,0.000133441,0.000133441,0.000133441
68,169.195,0.04086,0.88889,0.98148,0.38193,0.000129629,0.000129629,0.000129629
69,171.65,0.04657,0.88889,1,0.37647,0.000125818,0.000125818,0.000125818
70,174.076,0.04912,0.87037,1,0.36925,0.000122007,0.000122007,0.000122007
71,176.543,0.038,0.87037,1,0.40737,0.000118195,0.000118195,0.000118195
72,179.009,0.04718,0.87037,0.98148,0.44843,0.000114384,0.000114384,0.000114384
73,181.468,0.04048,0.87037,0.98148,0.47291,0.000110572,0.000110572,0.000110572
74,183.912,0.05924,0.87037,1,0.46741,0.000106761,0.000106761,0.000106761
75,186.348,0.0314,0.87037,1,0.43841,0.000102949,0.000102949,0.000102949
76,188.815,0.05814,0.87037,1,0.39851,9.91375e-05,9.91375e-05,9.91375e-05
77,191.296,0.02001,0.87037,1,0.44374,9.5326e-05,9.5326e-05,9.5326e-05
78,193.77,0.03191,0.87037,0.98148,0.40836,9.15145e-05,9.15145e-05,9.15145e-05
79,196.234,0.04025,0.88889,0.98148,0.43377,8.7703e-05,8.7703e-05,8.7703e-05
80,198.696,0.04643,0.87037,1,0.3616,8.38915e-05,8.38915e-05,8.38915e-05
81,201.156,0.04387,0.88889,1,0.39407,8.008e-05,8.008e-05,8.008e-05
82,203.585,0.04001,0.88889,1,0.48198,7.62685e-05,7.62685e-05,7.62685e-05
83,206.055,0.03524,0.88889,1,0.4832,7.2457e-05,7.2457e-05,7.2457e-05
84,208.499,0.0258,0.88889,1,0.50041,6.86455e-05,6.86455e-05,6.86455e-05
85,210.947,0.04191,0.88889,1,0.50447,6.4834e-05,6.4834e-05,6.4834e-05
86,213.442,0.0249,0.88889,1,0.51883,6.10225e-05,6.10225e-05,6.10225e-05
87,215.933,0.02514,0.87037,1,0.42625,5.7211e-05,5.7211e-05,5.7211e-05
88,218.431,0.04782,0.88889,1,0.44157,5.33995e-05,5.33995e-05,5.33995e-05
89,220.871,0.03329,0.87037,0.98148,0.41421,4.9588e-05,4.9588e-05,4.9588e-05
90,223.374,0.04594,0.87037,1,0.37062,4.57765e-05,4.57765e-05,4.57765e-05
91,225.836,0.02267,0.87037,1,0.47295,4.1965e-05,4.1965e-05,4.1965e-05
92,228.361,0.03054,0.87037,1,0.46894,3.81535e-05,3.81535e-05,3.81535e-05
93,230.814,0.03566,0.87037,1,0.37927,3.4342e-05,3.4342e-05,3.4342e-05
94,233.303,0.02566,0.87037,1,0.44857,3.05305e-05,3.05305e-05,3.05305e-05
95,235.747,0.02484,0.87037,1,0.44526,2.6719e-05,2.6719e-05,2.6719e-05
96,238.258,0.02545,0.87037,0.98148,0.40282,2.29075e-05,2.29075e-05,2.29075e-05
97,240.776,0.02876,0.87037,1,0.38513,1.9096e-05,1.9096e-05,1.9096e-05
98,243.287,0.03468,0.88889,1,0.41983,1.52845e-05,1.52845e-05,1.52845e-05
99,245.761,0.0378,0.88889,1,0.46835,1.1473e-05,1.1473e-05,1.1473e-05
100,248.277,0.03142,0.88889,1,0.39974,7.6615e-06,7.6615e-06,7.6615e-06
