epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.86681,2.96442,0.21212,0.48485,2.76152,0.0001456,0.0001456,0.0001456
2,6.76224,2.56105,0.39394,0.69697,2.3342,0.000292822,0.000292822,0.000292822
3,9.67926,2.12489,0.60606,0.87879,1.70326,0.000437071,0.000437071,0.000437071
4,12.5236,1.69084,0.66667,0.93939,1.76531,0.000441486,0.000441486,0.000441486
5,15.3568,1.31096,0.72727,0.95455,0.77552,0.000436982,0.000436982,0.000436982
6,18.217,0.99957,0.83333,0.9697,0.7509,0.000432478,0.000432478,0.000432478
7,21.1012,0.8179,0.84848,0.9697,0.57879,0.000427973,0.000427973,0.000427973
8,23.9872,0.60578,0.90909,0.9697,0.91329,0.000423468,0.000423468,0.000423468
9,26.838,0.49305,0.89394,0.9697,0.31693,0.000418964,0.000418964,0.000418964
10,29.6813,0.40088,0.92424,0.9697,0.31157,0.00041446,0.00041446,0.00041446
11,32.5726,0.34687,0.90909,0.9697,0.35574,0.000409955,0.000409955,0.000409955
12,35.4792,0.28378,0.89394,0.9697,0.31539,0.000405451,0.000405451,0.000405451
13,38.331,0.28473,0.92424,0.9697,0.97471,0.000400946,0.000400946,0.000400946
14,41.2119,0.23269,0.93939,0.98485,0.15208,0.000396441,0.000396441,0.000396441
15,44.1258,0.17295,0.92424,0.9697,0.31169,0.000391937,0.000391937,0.000391937
16,47.0169,0.18222,0.93939,0.98485,0.1613,0.000387433,0.000387433,0.000387433
17,49.8799,0.16206,0.95455,0.98485,0.19477,0.000382928,0.000382928,0.000382928
18,52.7843,0.16041,0.95455,0.9697,0.20239,0.000378423,0.000378423,0.000378423
19,55.7058,0.13341,0.95455,0.98485,0.20864,0.000373919,0.000373919,0.000373919
20,58.6226,0.13401,0.95455,0.98485,0.16294,0.000369415,0.000369415,0.000369415
21,61.5104,0.12102,0.9697,0.98485,0.11168,0.00036491,0.00036491,0.00036491
22,64.3809,0.08373,0.95455,0.98485,0.1286,0.000360406,0.000360406,0.000360406
23,67.3011,0.09435,0.95455,0.9697,0.15418,0.000355901,0.000355901,0.000355901
24,70.2249,0.08558,0.9697,0.98485,0.13884,0.000351396,0.000351396,0.000351396
25,73.1457,0.10568,0.9697,0.98485,0.14193,0.000346892,0.000346892,0.000346892
26,76.079,0.10357,0.9697,1,0.13037,0.000342387,0.000342387,0.000342387
27,78.9827,0.08926,0.9697,1,0.09753,0.000337883,0.000337883,0.000337883
28,81.9066,0.093,0.93939,1,0.09822,0.000333379,0.000333379,0.000333379
29,84.8269,0.10458,0.93939,1,0.08475,0.000328874,0.000328874,0.000328874
30,87.7584,0.08086,0.93939,1,0.08524,0.000324369,0.000324369,0.000324369
31,90.7103,0.10691,0.93939,1,0.12877,0.000319865,0.000319865,0.000319865
32,93.6653,0.09868,0.92424,1,0.38265,0.00031536,0.00031536,0.00031536
33,96.5901,0.09847,0.92424,1,0.1188,0.000310856,0.000310856,0.000310856
34,99.557,0.12229,0.93939,1,0.11518,0.000306351,0.000306351,0.000306351
35,102.547,0.08024,0.93939,1,0.16376,0.000301847,0.000301847,0.000301847
36,105.509,0.07397,0.93939,1,0.12941,0.000297342,0.000297342,0.000297342
37,108.451,0.05285,0.95455,1,0.10661,0.000292838,0.000292838,0.000292838
38,111.366,0.05744,0.95455,1,0.17729,0.000288333,0.000288333,0.000288333
39,114.28,0.07864,0.95455,0.98485,0.14725,0.000283829,0.000283829,0.000283829
40,117.252,0.06255,0.95455,0.98485,0.43494,0.000279325,0.000279325,0.000279325
41,120.242,0.03488,0.95455,1,0.44882,0.00027482,0.00027482,0.00027482
42,123.262,0.06728,0.93939,1,0.12052,0.000270316,0.000270316,0.000270316
43,126.201,0.08031,0.95455,1,0.09835,0.000265811,0.000265811,0.000265811
44,129.186,0.07364,0.9697,0.98485,0.09888,0.000261307,0.000261307,0.000261307
45,132.268,0.05974,0.9697,0.98485,0.07388,0.000256802,0.000256802,0.000256802
46,135.297,0.0613,0.9697,0.98485,0.0772,0.000252298,0.000252298,0.000252298
47,138.296,0.0475,0.9697,1,0.13848,0.000247793,0.000247793,0.000247793
48,141.311,0.05575,0.95455,1,0.09683,0.000243289,0.000243289,0.000243289
49,144.286,0.04742,0.93939,1,0.11089,0.000238784,0.000238784,0.000238784
50,147.193,0.04039,0.95455,1,0.10062,0.00023428,0.00023428,0.00023428
51,150.085,0.03707,0.9697,1,0.07982,0.000229775,0.000229775,0.000229775
52,152.997,0.02789,0.9697,1,0.09387,0.00022527,0.00022527,0.00022527
53,155.851,0.04369,0.9697,1,0.06959,0.000220766,0.000220766,0.000220766
54,158.758,0.06723,0.9697,1,0.13357,0.000216261,0.000216261,0.000216261
55,161.646,0.03867,0.9697,0.98485,0.07987,0.000211757,0.000211757,0.000211757
56,164.521,0.04347,0.9697,0.98485,0.0919,0.000207252,0.000207252,0.000207252
57,167.376,0.06977,0.9697,0.98485,0.12008,0.000202748,0.000202748,0.000202748
58,170.266,0.04897,0.9697,0.98485,0.13856,0.000198244,0.000198244,0.000198244
59,173.129,0.03953,0.9697,0.98485,0.11824,0.000193739,0.000193739,0.000193739
60,176.016,0.03998,0.9697,1,0.09698,0.000189235,0.000189235,0.000189235
61,178.864,0.05068,0.9697,1,0.07752,0.00018473,0.00018473,0.00018473
62,181.737,0.04657,0.9697,1,0.0691,0.000180226,0.000180226,0.000180226
63,184.636,0.03653,0.9697,1,0.06515,0.000175721,0.000175721,0.000175721
64,187.526,0.03565,0.95455,1,0.08032,0.000171217,0.000171217,0.000171217
65,190.419,0.04523,0.95455,1,0.07687,0.000166712,0.000166712,0.000166712
66,193.299,0.05228,0.95455,1,0.06749,0.000162207,0.000162207,0.000162207
67,196.163,0.03763,0.9697,1,0.05948,0.000157703,0.000157703,0.000157703
68,199.029,0.03471,0.9697,1,0.06982,0.000153198,0.000153198,0.000153198
69,201.902,0.03992,0.9697,1,0.40704,0.000148694,0.000148694,0.000148694
70,204.768,0.05568,0.9697,1,0.06158,0.00014419,0.00014419,0.00014419
71,207.671,0.03374,0.9697,1,0.06003,0.000139685,0.000139685,0.000139685
72,210.614,0.02816,0.9697,1,0.06241,0.000135181,0.000135181,0.000135181
73,213.501,0.02885,0.9697,1,0.06094,0.000130676,0.000130676,0.000130676
74,216.438,0.03015,0.9697,1,0.06352,0.000126172,0.000126172,0.000126172
75,219.336,0.04264,0.9697,1,0.06826,0.000121667,0.000121667,0.000121667
76,222.28,0.01942,0.9697,0.98485,0.08146,0.000117163,0.000117163,0.000117163
77,225.186,0.02579,0.9697,0.98485,0.06648,0.000112658,0.000112658,0.000112658
78,228.151,0.01866,0.9697,1,0.07169,0.000108154,0.000108154,0.000108154
79,231.111,0.02529,0.9697,1,0.09022,0.000103649,0.000103649,0.000103649
80,234.067,0.02651,0.9697,1,0.07187,9.91445e-05,9.91445e-05,9.91445e-05
81,237.016,0.02271,0.9697,1,0.0664,9.464e-05,9.464e-05,9.464e-05
82,239.983,0.0128,0.9697,1,0.06924,9.01355e-05,9.01355e-05,9.01355e-05
83,242.902,0.01696,0.9697,1,0.07189,8.5631e-05,8.5631e-05,8.5631e-05
84,245.828,0.01477,0.9697,1,0.07302,8.11265e-05,8.11265e-05,8.11265e-05
85,248.772,0.02807,0.9697,1,0.06923,7.6622e-05,7.6622e-05,7.6622e-05
86,251.714,0.01379,0.9697,1,0.05979,7.21175e-05,7.21175e-05,7.21175e-05
87,254.647,0.02427,0.9697,1,0.08574,6.7613e-05,6.7613e-05,6.7613e-05
88,257.598,0.02546,0.9697,1,0.06176,6.31085e-05,6.31085e-05,6.31085e-05
89,260.701,0.01244,0.9697,1,0.07392,5.8604e-05,5.8604e-05,5.8604e-05
90,263.769,0.03391,0.9697,1,0.0627,5.40995e-05,5.40995e-05,5.40995e-05
91,266.782,0.0223,0.9697,1,0.06506,4.9595e-05,4.9595e-05,4.9595e-05
92,269.769,0.02256,0.9697,1,0.06284,4.50905e-05,4.50905e-05,4.50905e-05
93,272.809,0.02084,0.9697,1,0.05842,4.0586e-05,4.0586e-05,4.0586e-05
94,275.843,0.02363,0.9697,1,0.0624,3.60815e-05,3.60815e-05,3.60815e-05
95,278.854,0.01232,0.9697,1,0.05589,3.1577e-05,3.1577e-05,3.1577e-05
96,281.905,0.01934,0.9697,1,0.06193,2.70725e-05,2.70725e-05,2.70725e-05
