,precision,recall,f1-score,support
audi,0.7368421052631579,0.8316831683168316,0.7813953488372093,101.0
benz,0.5555555555555556,0.8267716535433071,0.6645569620253164,127.0
bmw,0.7818181818181819,0.7226890756302521,0.7510917030567685,119.0
byd,0.2608695652173913,0.4897959183673469,0.3404255319148936,49.0
ford,0.515625,0.4647887323943662,0.4888888888888889,71.0
honda,0.47368421052631576,0.21428571428571427,0.29508196721311475,42.0
hyundai,0.2247191011235955,0.3389830508474576,0.2702702702702703,59.0
kia,0.6875,0.1746031746031746,0.27848101265822783,63.0
lexus,0.36764705882352944,0.4807692307692308,0.4166666666666667,52.0
mazda,0.6206896551724138,0.35294117647058826,0.45,51.0
mini,0.7058823529411765,0.7741935483870968,0.7384615384615385,31.0
nissan,0.3488372093023256,0.21739130434782608,0.26785714285714285,69.0
suzuki,0.5833333333333334,0.375,0.45652173913043476,56.0
tesla,0.0,0.0,0.0,3.0
toyota,0.3625,0.32222222222222224,0.3411764705882353,90.0
accuracy,0.5127161749745677,0.5127161749745677,0.5127161749745677,0.5127161749745677
macro avg,0.48170022193846507,0.4390745313456943,0.43605834950458056,983.0
weighted avg,0.5349819184637518,0.5127161749745677,0.5007502020093566,983.0
